"Category","objects (x)","objects (y)","phrases (x)","phrases (y)","hashtags (x)","hashtags (y)","emojis (x)","emojis (y)","actions (x)","actions (y)","characteristics (x)","characteristics (y)"
"world",0.162109375,158,,,,,,,,,,
"happy birthday",,,0.2028985507246377,40,,,,,,,,
"❤",,,,,,,0.21260504201680674,222,,,,
"happy",,,,,,,,,,,0.24607961399276235,201
"going",,,,,,,,,0.2610526315789473,117,,
"like",,,,,,,,,0.30260047281323876,124,,
"good luck bear",,,0.31794871794871793,55,,,,,,,,
"think",,,,,,,,,0.3254901960784313,159,,
"other",,,,,,,,,,,0.33163265306122447,130
"new care bears",,,0.3391812865497076,55,,,,,,,,
"new care",,,0.3482142857142857,72,,,,,,,,
"omg",0.3562005277044855,129,,,,,,,,,,
"cheer bear",,,0.38601036269430056,140,,,,,,,,
"favorite",,,,,,,,,,,0.3877551020408163,199
"new",,,,,,,,,,,0.3881944444444444,508
"🧡",,,,,,,0.3887399463806971,143,,,,
"first",,,,,,,,,,,0.3908629441624365,151
"see",,,,,,,,,0.4008207934336525,277,,
"care bears movie",,,0.4049586776859504,49,,,,,,,,
"look",,,,,,,,,0.4065934065934066,176,,
"make",,,,,,,,,0.41764705882352937,282,,
"video",0.41767068273092367,199,,,,,,,,,,
"buy",,,,,,,,,0.4208494208494209,105,,
"care bears adventures",,,0.4246575342465754,22,,,,,,,,
"vesa silventoinen",,,0.4246575342465754,31,,,,,,,,
"wicked care",,,0.4246575342465754,31,,,,,,,,
"#shorts",,,,,0.42920353982300885,96,,,,,,
"watch",,,,,,,,,0.4319727891156463,122,,
"carebear",0.43560606060606055,115,,,,,,,,,,
"let",,,,,,,,,0.43575418994413406,154,,
"cute",,,,,,,,,,,0.4375655823714586,725
"care bears collection",,,0.4383561643835616,26,,,,,,,,
"priority access",,,0.4383561643835616,25,,,,,,,,
"favorite care",,,0.4383561643835616,31,,,,,,,,
"lava lamp",,,0.4383561643835616,31,,,,,,,,
"magic",0.4437299035369775,115,,,,,,,,,,
"doing",,,,,,,,,0.4475138121546961,77,,
"caulfield racecourse",,,0.452054794520548,22,,,,,,,,
"christmas wonderland",,,0.452054794520548,22,,,,,,,,
"official launch",,,0.452054794520548,26,,,,,,,,
"pop mart",,,0.452054794520548,32,,,,,,,,
"grumpy bear",,,0.45432098765432094,176,,,,,,,,
"😭",,,,,,,0.4624871531346352,439,,,,
"#fyp",,,,,0.4653679653679653,627,,,,,,
"amazing",,,,,,,,,,,0.4699248120300752,117
"bring",,,,,,,,,0.4726027397260274,125,,
"bear",0.4734513274336283,406,,,,,,,,,,
"care bears",,,0.47650171179582945,2901,,,,,,,,
"big",,,,,,,,,,,0.4814814814814815,117
"know",,,,,,,,,0.48406374501992033,238,,
"™",,,,,,,0.48711943793911006,379,,,,
"hello kitty",,,0.4931506849315068,33,,,,,,,,
"funshine bear",,,0.4971428571428571,85,,,,,,,,
"comment",0.49783549783549785,107,,,,,,,,,,
"little",,,,,,,,,,,0.5,380
"🌈",,,,,,,0.5034843205574913,511,,,,
"friend",0.5057736720554272,211,,,,,,,,,,
"x care bears",,,0.5121951219512195,54,,,,,,,,
"💙",,,,,,,0.5185735512630014,325,,,,
"🧸",,,,,,,0.5332555425904317,429,,,,
"last",,,,,,,,,,,0.537117903930131,114
"adorable",,,,,,,,,,,0.5381165919282511,209
"girl",0.5477178423236515,126,,,,,,,,,,
"#viral",,,,,0.5512820512820513,164,,,,,,
"people",0.552,132,,,,,,,,,,
"lot bear",,,0.5526315789473684,41,,,,,,,,
"great",,,,,,,,,,,0.5533596837944664,135
"#popmart",,,,,0.5543175487465182,189,,,,,,
"😂",,,,,,,0.5560897435897436,274,,,,
"#carebearcollection",,,,,0.5608695652173913,89,,,,,,
"❤️",,,,,,,0.5718015665796345,572,,,,
"tenderheart bear",,,0.5753424657534247,42,,,,,,,,
"marina square",,,0.5753424657534247,39,,,,,,,,
"say",,,,,,,,,0.583941605839416,150,,
"beautiful",,,,,,,,,,,0.5887850467289719,119
"want",,,,,,,,,0.5902192242833053,339,,
"find",,,,,,,,,0.5916955017301038,161,,
"fun",0.5936507936507937,168,,,,,,,,,,
"come",,,,,,,,,0.5973597359735974,174,,
"🐻",,,,,,,0.5980528511821974,392,,,,
"care",0.6010016694490818,333,,,,,,,,,,
"sesame street",,,0.6027397260273972,37,,,,,,,,
"✨",,,,,,,0.6080793763288448,781,,,,
"🤣",,,,,,,0.6163793103448276,138,,,,
"love",0.6178660049627791,233,,,,,,,,,,
"ready",,,,,,,,,,,0.6186440677966102,133
"💜",,,,,,,0.6208112874779541,322,,,,
"💛",,,,,,,0.6215596330275229,257,,,,
"old",,,,,,,,,,,0.6237623762376238,124
"heart",0.625531914893617,136,,,,,,,,,,
"#carebears",,,,,0.6317897772792822,3706,,,,,,
"💕",,,,,,,0.6367781155015197,383,,,,
"#carebear",,,,,0.6430155210643016,502,,,,,,
"strawberry shortcake",,,0.64375,99,,,,,,,,
"x care",,,0.6438356164383562,38,,,,,,,,
