"Time","Official Care Bears","Stranger Things","Wicked"
"02.12.2024 00:00",1052279,0,0
"09.12.2024 00:00",1386515,0,0
"16.12.2024 00:00",1518766,0,0
"23.12.2024 00:00",1072012,0,0
"30.12.2024 00:00",604660,0,0
"06.01.2025 00:00",1264569,0,0
"13.01.2025 00:00",603546,0,0
"20.01.2025 00:00",445583,0,0
"27.01.2025 00:00",242341,0,0
"03.02.2025 00:00",844363,0,0
"10.02.2025 00:00",4427965,0,0
"17.02.2025 00:00",1472169,0,0
"24.02.2025 00:00",1312709,0,0
"03.03.2025 00:00",1022969,0,0
"10.03.2025 01:00",722286,0,0
"17.03.2025 01:00",743573,0,0
"24.03.2025 01:00",899903,0,0
"31.03.2025 01:00",1122038,0,0
"07.04.2025 01:00",794947,0,0
"14.04.2025 01:00",426934,0,0
"21.04.2025 01:00",1478313,0,0
"28.04.2025 01:00",155200,0,0
"05.05.2025 01:00",411720,0,0
"12.05.2025 01:00",468516,0,0
"19.05.2025 01:00",347697,0,0
"26.05.2025 01:00",126803,0,0
"02.06.2025 01:00",2497106,0,0
"09.06.2025 01:00",574629,0,0
"16.06.2025 01:00",479795,0,0
"23.06.2025 01:00",516188,0,0
"30.06.2025 01:00",157000,0,0
"07.07.2025 01:00",6360882,0,0
"14.07.2025 01:00",1296296,0,0
"21.07.2025 01:00",234733,0,0
"28.07.2025 01:00",4833867,0,0
"04.08.2025 01:00",154205,0,0
"11.08.2025 01:00",1550499,0,0
"18.08.2025 01:00",338062,0,0
"25.08.2025 01:00",760183,0,0
"01.09.2025 01:00",4553063,0,0
"08.09.2025 01:00",407525,0,0
"15.09.2025 01:00",422118,0,0
"22.09.2025 01:00",682427,0,0
"29.09.2025 01:00",447961,0,0
"06.10.2025 01:00",1695062,0,0
"13.10.2025 01:00",280009,0,0
"20.10.2025 01:00",2818405,0,0
"27.10.2025 01:00",980056,0,0
"03.11.2025 00:00",958870,575456,0
"10.11.2025 00:00",1165672,48800,4777
"17.11.2025 00:00",1699448,794362,649333
"24.11.2025 00:00",55853,16000,0
"01.12.2025 00:00",0,0,0
